,Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Es_Turbo,Cilindrada,Antiguedad_Anios
0,13328,1399.0,30,1203,4,1,2,186005,6.0,0,0,4,0,12,12,0,3.5,16
1,16621,1018.0,7,642,4,0,5,192000,6.0,2,0,4,0,1,8,0,3.0,15
2,8467,1547.18,20,667,3,0,5,200000,4.0,3,1,4,1,1,2,0,1.3,20
3,3607,862.0,15,645,4,1,2,168966,4.0,0,0,4,0,14,0,0,2.5,15
4,11726,446.0,20,667,3,1,5,91901,4.0,0,1,4,0,12,4,0,1.3,12
5,39493,891.0,22,1259,4,1,1,160931,4.0,0,1,4,0,14,4,0,2.0,10
6,1803,761.0,55,1116,3,1,2,258909,4.0,0,1,4,0,14,12,0,1.8,16
7,549,751.0,22,1286,9,1,5,216118,4.0,0,1,4,0,7,12,0,2.4,13
8,1098,394.0,55,425,9,1,2,398069,4.0,0,1,4,0,1,12,0,2.5,12
9,26657,2203.04,30,1197,4,1,5,128500,6.0,0,0,4,0,12,12,0,3.5,19
10,941,1053.0,34,587,9,1,1,184467,6.0,0,2,4,0,14,12,0,3.5,12
11,8781,3325.89,15,1369,6,0,0,0,8.0,1,2,2,0,2,0,0,4.0,27
12,3000,1390.73,40,1403,2,0,0,350000,4.0,1,1,4,0,14,4,0,1.6,29
13,1019,1055.0,30,1203,4,1,2,138038,6.0,0,1,4,0,14,12,0,3.5,13
14,59464,891.0,22,1259,4,1,1,76000,4.0,0,1,4,0,14,4,0,2.0,10
15,549,1079.0,55,366,4,1,5,74146,4.0,0,1,4,0,14,12,0,2.0,8
16,7683,810.0,22,617,9,1,5,121840,4.0,0,1,4,0,2,12,0,1.8,10
17,28382,810.0,22,617,9,1,5,54317,4.0,0,1,4,0,14,4,0,1.8,10
18,549,2386.0,22,1286,9,1,5,295059,6.0,0,2,4,0,2,12,0,3.3,20
19,941,1850.0,30,1198,4,1,2,364523,6.0,0,0,4,0,1,12,0,3.5,18
20,18826,531.0,22,617,9,1,5,112645,4.0,0,1,4,0,12,4,0,1.6,14
21,20698,586.0,55,1116,9,1,6,187000,4.0,0,1,4,0,14,12,0,1.8,14
22,17562,1249.0,55,425,9,1,5,39709,4.0,0,1,4,0,1,12,0,2.5,9
23,7840,2039.11,15,1369,6,0,1,230000,4.0,1,1,2,0,14,0,1,2.0,25
24,4704,1529.01,40,1403,9,0,5,0,4.0,0,1,4,0,6,4,0,1.8,31
25,20385,1622.85,34,561,9,1,1,210000,4.0,2,2,4,0,1,8,1,2.2,20
26,549,2455.0,30,777,4,1,5,0,8.0,0,0,4,0,14,0,0,4.7,18
28,14454,583.0,22,617,9,1,5,158787,4.0,0,1,4,0,12,4,0,1.6,15
29,12074,1537.0,55,821,4,1,2,420550,6.0,0,0,4,0,2,12,0,3.3,17
30,15681,1288.0,34,1432,2,0,1,180000,6.0,1,2,4,0,14,4,1,2.0,19
31,19444,915.0,43,455,4,1,1,175056,6.0,0,0,4,0,14,12,0,3.0,12
32,6899,4706.95,4,1477,4,1,0,200000,8.0,0,0,4,0,12,6,0,4.4,26
34,24462,1909.1,26,800,4,1,1,250000,6.0,2,0,4,0,1,10,1,3.0,19
35,23235,707.0,22,1259,4,1,1,162000,4.0,0,1,4,0,7,4,0,2.0,15
36,51746,1077.0,55,367,4,0,5,10200,4.0,2,1,4,0,11,12,0,2.0,7
37,7527,1486.0,20,667,3,0,2,158000,4.0,0,1,4,1,1,4,0,1.3,16
38,19121,531.0,22,617,9,1,5,103490,4.0,0,1,4,0,12,4,0,1.6,14
40,24462,751.0,55,425,9,1,5,203200,4.0,0,1,4,0,2,4,0,2.4,13
41,45734,1091.0,22,808,10,1,1,61057,4.0,0,1,4,0,1,4,0,2.5,10
42,20165,650.0,58,866,9,1,5,11200,4.0,2,1,4,0,1,8,1,1.4,10
43,21326,382.0,22,1286,9,1,2,141000,4.0,2,1,4,0,14,12,0,2.4,12
44,549,1436.0,43,455,4,1,5,160259,6.0,0,0,4,0,12,12,0,3.6,16
46,15681,503.0,55,1124,3,0,2,128000,4.0,3,1,4,0,13,8,0,1.5,14
47,55390,1017.0,22,1259,4,1,1,100734,4.0,0,1,4,0,1,4,0,2.0,9
48,12544,787.05,55,253,3,0,2,141500,4.0,0,1,4,1,1,8,0,1.5,14
49,17249,1245.49,15,648,4,0,2,147000,4.0,3,0,4,0,14,8,0,2.3,18
50,34889,891.0,20,471,9,1,5,87768,4.0,0,1,4,0,2,4,0,2.0,10
51,862,1104.0,3,1158,4,1,5,264014,6.0,0,0,4,0,1,0,0,3.0,11
52,14583,843.0,44,998,9,0,1,132542,4.0,1,1,4,0,14,10,1,1.5,18
54,38500,639.0,3,1154,4,1,5,87000,1.0,2,0,4,0,14,12,0,2.0,12
55,8781,2937.81,34,307,1,0,5,260000,4.0,1,2,2,0,2,0,0,2.0,25
56,87112,1077.0,34,762,4,1,5,5323,4.0,2,0,4,0,7,0,1,2.0,7
57,1411,629.0,39,886,4,1,5,87112,4.0,0,0,4,0,1,0,0,1.6,11
59,23521,781.0,7,527,9,0,5,22000,4.0,0,1,4,0,11,6,1,1.4,8
60,16935,530.0,15,725,9,0,5,83000,4.0,2,1,4,0,12,8,1,1.6,13
61,10349,1528.0,55,1399,7,1,5,170000,4.0,0,1,4,1,1,6,0,2.4,19
62,7213,530.0,39,886,4,1,5,312118,4.0,0,1,4,0,1,0,0,1.6,13
63,5331,1595.17,34,203,9,0,5,130000,4.0,2,1,4,0,1,6,0,1.6,22
64,20526,640.0,22,1389,4,1,1,200279,4.0,0,1,4,0,7,4,0,2.0,13
65,9722,765.0,22,1286,9,1,4,719847,4.0,0,1,4,0,8,4,0,2.0,11
66,34657,777.0,22,808,7,1,1,154672,4.0,0,1,4,0,12,4,0,2.5,12
67,36564,1091.0,22,808,7,1,1,110969,4.0,0,1,4,0,1,4,0,2.5,10
69,5488,1827.86,55,1444,3,0,5,210000,4.0,1,1,4,1,13,3,0,1.5,25
70,30063,934.0,22,808,10,1,1,148105,4.0,0,1,4,0,12,4,0,2.5,11
